Titre construit,1er responsable,Responsables,Code-barres,Cote,Résumé (notice),Genre
La Bande à Baader,"Edel, Uli (1947 - ...)",Uli Edel ...,2197278,DVD BAN,"Résumé : Dans les années 70, l'Allemagne est la proie d'attentats à la bombe meurtriers. La menace terroriste et la peur de l'ennemi intérieur ébranlent les fondements mêmes d'une démocratie encore fragile. Sous la conduite d'Andreas Baader, Ulrike Meinhof et Gudrun Ensslin, une nouvelle génération radicalisée entre violemment en guerre contre ce qu'ils perçoivent comme le nouveau visage du fascisme : l'impérialisme américain soutenu par les membres de l'establishment allemand, dont certains ont un passé de nazi. Leur objectif est de créer une société plus humaine. Mais en employant des moyens inhumains, en répandant la terreur et en faisant couler le sang, ils perdent leur propre humanité. L'homme qui les comprend est aussi celui qui les pourchasse : le chef de la police allemande, Horst Herold. Et même s'il réussit à capturer les jeunes terroristes, Herold sait qu'il ne s'agit que de la partie émergée de l'iceberg...",Film de guerre
La Banquière,"Girod, Francis",Francis Girod ...,2114805,DVD BAN,"Un film inspiré par Marthe Hannau, banquière des années folles qui fit scandale à cause de son anticonformisme et de son homosexualité. Un personnage porté par Romy Schneider.",Drame
La Belle,"Zebriunas, Arunas (1931 - ...)","Arunas Zebriunas, réal.",2171069,DVD BEL,"Les enfants du quartier jouent souvent à un jeu : ils forment un cercle au centre duquel l'un d'entre eux danse pendant que les autres lui adressent des compliments. Inga, une petite fille sympathique et honnête qui vit avec sa mère célibataire, en reçoit en général beaucoup. Pour cette raison, on la surnomme ""la belle"". Mais cela ne va pas durer : un nouveau garçon s'installe dans le quartier. Malpoli, il ne s'intègre pas bien. Et comme il n'aime pas les taches de rousseur d'Inga, il lui dit qu'elle est laide, ce qui la blesse profondément. Elle part à la recherche de la vraie beauté...En bonus : Documentaire ""En mémoire"" du réalisateur Arunas Zebriunas : images d'archives.",Histoire vraie
La belle endormie,"Bellocchio, Marco (1939 - 20..)",Marco Bellocchio ...,2126378,DVD BEL,"Novembre 2008, l'Italie se déchire autour du sort d'une jeune femme plongée dans le coma depuis 17 ans... Un tourbillon politique et médiatique s'empare alors de quelques destins... Un pur mélo, tiré d'une histoire vraie, porté par une mise en scène rigoureuse et sensible...",Histoire vraie
La belle époque,"Bedos, Nicolas (1980 - 20..)",Nicolas Bedos ...,2177490,DVD BEL,"Victor, un sexagénaire désabusé, voit sa vie bouleversée le jour où Antoine un brillant entrepreneur lui propose une attraction d'un genre nouveau : mélangeant artifices théâtraux et reconstitution historique, cette entreprise propose à ses clients de replonger dans l'époque de leur choix. Victor choisit alors de revivre la semaine la plus marquante de sa vie : celle où, 40 ans plus tôt, il rencontra le grand amour...En bonus : Commentaire audio de Nicolas Bedos, bonus Cannes : conférence de presse et montée des marches. ""Bedos maîtrise parfaitement une mécanique dramatique dont les éléments sont délicats à imbriquer, comme de la porcelaine. ""La belle époque"" est une vraie belle réussite."" Culturebox - France Télévisions - Jean-François Lixon ""Pour son deuxième film, Nicolas Bedos ravive les années 1970 avec lyrisme et romanesque. Une rhapsodie des sentiments."" Le Figaro - Eric Neuhoff ""Le récit filmique oscille constamment entre le décapant et le touchant, entre le cynisme et le mélodrame, avec une aisance rehaussée par l'alacrité d'une mise en scène riche en seconds et troisièmes rôles, tous impeccables, avec Pierre Arditi en guest star."" Positif - Denitza Bantcheva ""Le scénario lui, est bluffant. D'une maîtrise rare dans le cinéma français actuel, à laquelle s'ajoutent une inventivité et une intelligence savoureuses."" L'Express - Christophe Carrière César du meilleur scénario original, de la meilleure actrice dans un second rôle (Fanny Ardant) et des meilleurs décors, France, 2020",Fantasy / Merveilleux
La belle et la belle,"Fillières, Sophie",Sophie Fillières ...,2158807,DVD BEL,"Margaux, 20 ans, fait la connaissance de Margaux, 45 ans : tout les unit, il s'avère qu'elles ne forment qu'une seule et même personne, à deux âges différents de leur vie...",Drame
La Belle noiseuse,"Rivette, Jacques (1928 - ...)",Jacques Rivette ...,2197211,DVD BEL,"Un peintre vieillissant est rongé par un secret qui l'obsède : l'abandon, il y a dix ans, d'un grand tableau qui devait être son chef-d'oeuvre et dont sa femme était le modèle. L'arrivée d'un jeune couple dans sa propriété du Midi va lui permettre de reprendre cette oeuvre et c'est la jeune femme, qui cette fois, lui sert de modèle. Pendant les cinq journées de pose, la tension va monter entre les différents protagonistes.",Thriller
La belle promise,"Arraf, Suha",Suha Arraf ...,2148457,DVD BEL,"En Palestine, trois soeurs issues de l'aristocratie chrétienne ont perdu leur terre et leur statut social après la guerre des Six Jours de 1967 avec Israël. Incapables de faire face à leur nouvelle réalité, elles s'isolent du reste du monde en s'enfermant dans leur villa pour se raccrocher à leur vie passée. L'arrivée de leur jeune nièce, Badia, ne tarde pas à bousculer leur routine et d'autant plus lorsqu'elles se mettent en tête de lui trouver un mari. Un premier film sensible.",Film de guerre
La belle verte,"Serreau, Coline",Coline Serreau ...,2158959,DVD BEL,"Quelque part dans l'univers existe une planète dont les habitants évolués et heureux vivent en parfaite harmonie. De temps en temps, quelques-uns d'entre eux partent en excursion sur d'autres planètes. Curieusement, depuis deux cents ans, plus personne ne veut aller sur la planète Terre. Or un jour, pour des raisons personnelles, une jeune femme décide de se porter volontaire. Et c'est ainsi que les Terriens la voient atterrir en plein Paris. Une fable faussement naïve. En bonus : Making of (15'), scènes coupées (22').",Science-fiction
La Chambre des merveilles,"Azuelos, Lisa (1965 - ...)",Lisa Azuelos ...,2197679,DVD CHA,"C'est le pari fou d'une mère prête à tout pour aider son fils à se réveiller du coma. Après l'accident de Louis, 12 ans, Thelma décide de réaliser à sa place les ""10 choses à faire avant la fin du monde"" qu'il avait inscrites dans son journal intime. En écoutant ces aventures, Louis verra combien la vie est belle et qu'il doit revenir ! En accomplissant à quarante ans les rêves d'un ado, Thelma va vivre un voyage incroyable qui l'emmènera bien plus loin que ce qu'elle imaginait...",Drame
La chambre du fils,"Moretti, Nanni",Nanni Moretti ...,2137824,DVD CHA,Une famille bouleversée par la perte d'un enfant... Un très beau drame intimiste qui scrute l'avant et l'après-disparition...,Drame
La chasse,"Vinterberg, Thomas",Thomas Vinterberg ...,2113888,DVD CHA,"Après un divorce difficile, Lucas refait sa vie dans une petite communauté. Une remarque, une rumeur qui tourne à l'hystérie l'oblige à se battre pour sauver sa vie et sa dignité. Drame psychologique en forme de thriller noir et haletant.",Fantasy / Merveilleux
La Chinoise,"Godard, Jean-Luc (1930 - 2022)",Jean-Luc Godard ...,2130696,DVD CHI,"Dans un appartement dont les murs sont recouverts de petits livres rouges, des jeunes gens étudient la pensée marxiste-léniniste... Considéré comme un film prophétique, annonçant mai 68, un témoignage d'une époque et une belle originalité de la mise en scène...",Drame
La chute de l'empire américain,"Arcand, Denys (1941 - ...)",Denys Arcand ...,2171821,DVD CHU,"A 36 ans, malgré un doctorat en philosophie, Pierre-Paul Daoust est chauffeur pour une compagnie de livraison. Un jour, il est témoin d'un hold-up qui tourne mal, faisant deux morts parmi les gangsters. Il se retrouve seul avec deux énormes sacs de sport bourrés de billets. Des millions de dollars. Le pouvoir irrésistible de l'argent va bousculer ses valeurs altruistes et mettre sur sa route une escort girl envoûtante, un ex-taulard perspicace et un avocat d'affaires roublard. En bonus : Interview du réalisateur Denys Arcand et de la comédienne Maripier Morin.",Policier et espionnage
La Clé,"Foruzesh, Ebrahim",Ebrahim Foruzesh ...,2051588,DVD CLE,"Amir, 4 ans, reste seul avec son petit frère tandis que sa mère part faire des courses. Une véritable épopée miniature, burlesque, dramatique et symbolique.",Comédie
La Colline aux mille enfants,"Lorenzi, Jean-Louis",Jean-Louis Lorenzi ...,2197513,DVD COL,"L'histoire vraie de comment les habitants d'un petit village du Velay se sont ligués pendant la guerre, pour arracher des milliers d'enfants juifs à une mort certaine...",Film de guerre
La Colline où rugissent les lionnes,"Bajrami, Luana (2001 - ...)",Luana Bajrami ...,2197527,DVD COL,"Quelque part au Kosovo, dans un village isolé, trois jeunes femmes voient étouffer leurs rêves et leurs ambitions. Dans leur quête d'indépendance, rien ne pourra les arrêter : le temps est venu de laisser rugir les lionnes.",Aventure
La communauté,"Vinterberg, Thomas",Thomas Vinterberg ...,2188301,DVD COM,"Dans les années 1970, au Danemark, Erik, professeur d'architecture, et Anna, journaliste à la télévision, s'installent avec leur fille de 14 ans, Freja, dans une villa d'un quartier huppé de Copenhague où ils décident de tenter l'expérience de la communauté. Ils y invitent donc des amis mais aussi de nouvelles connaissances à partager là une vie en collectivité où toutes les règles, toutes les décisions sont prises de manière collégiale et soumises à un vote. Si leur communauté favorise l'amitié, l'amour et l'intimité du groupe, une liaison amoureuse entre Erik et l'une de ses étudiantes va venir perturber la vie de tous...Making of, Entretien avec Thomas Vinterberg, bande-annonce.","Romance, sentimental"
La Communion,"Komasa, Jan","Jan Komasa, réal.",2188406,DVD COM,"Daniel, 20 ans, se découvre une vocation spirituelle dans un centre de détention pour la jeunesse mais le crime qu'il a commis l'empêche d'accéder aux études de séminariste. Envoyé dans une petite ville pour travailler dans un atelier de menuiserie, il se fait passer pour un prêtre et prend la tête de la paroisse. L'arrivée du jeune et charismatique prédicateur bouscule alors cette petite communauté conservatrice. ""Interprété avec brio, subtil dans son récit, décisif dans sa chute et surtout lumineux dans sa photographie, ""La communion"" est un film incontournable. A voir absolument."" Ecran Large - Marion Barlet ""Brûlot politique, ""La communion"" atteste de la vitalité d'un cinéma polonais touché, comme son héros ambivalent, par la grâce."" CinemaTeaser - Sandrine Marques ""La mise en scène est entièrement au service de ce fascinant personnage, capable de se montrer doux comme un agneau ou ultra-violent."" Le Parisien - Marine Quinchon ""Porté par un suspens immanent [...] et une mise en scène naturaliste mais tendue, où le cinéaste dispose superbement le jeune charismatique au milieu de ses ouailles, le film passionne sur le mystère du sacerdoce."" Télérama - Guillemette Odicino. Bonus : Entretien avec le réalisateur, scènes coupées, bio-filmographie du réalisateur, photos du film, bande-annonce.",Policier et espionnage
La Condition de l'homme,"Kobayashi, Masaki",Masaki Kobayashi ...,2217105,DVD CON,"Le plus long film de l'histoire du cinéma, mais surtout une oeuvre exceptionnelle sur l'occupation japonaise en Mandchourie. Une fresque immense sur la condition de l'homme. D'abord utopiste et naïf, étranger au monde qui l'entoure et à l'histoire qui se crée sous ses yeux, le personnage de Kaji demeure à ce jour l'une des plus belles allégories sur l'émancipation de l'homme.",Drame
La Conspiration des belettes,"Campanella, Juan Jose (1959 - ....)","Juan Jose Campanella, Darren Kloomok, Emilio Kauderer ...",2195206,DVD CON,"Quatre vieux amis : un réalisateur, un scénariste, une actrice et son mari partagent une grande maison à la campagne. Ils mènent une vie paisible jusqu'à l'arrivée d'un jeune couple d'agents immobiliers sans scrupules prêt à tout pour récupérer la propriété... Mais c'est sans compter sur la malice de ces septuagénaires. En bonus : Entretien avec Juan José Campanella. ""Campanella cite Lubitsch comme l'un de ses réalisateurs de comédie préféré. Il n'a pas la même ""touch"" que son maître. (...) Mais le numéro d'acteur des quatre têtes d'affiche est assez savoureux. Graciela Borges, Luis Brandoni, Oscar Martinez et Marcos Mundstock s'amusent et amusent dans ce ""Boulevard du crépuscule"" teinté d'humour noir."" Le Figaro - Etienne Sorin ""Malicieuse, hilarante et sanglante, cette pépite argentine (...) met en scène quatre octogénaires déchaînés. Un régal."" Le Parisien - Renaud Baronian ""Avec ses vieilles gloires sarcastiques, le réalisateur de ""Dans ses yeux"" signe une comédie noire rendant hommage au cinéma. Si elle perd un peu de son humour mordant en gagnant en profondeur, son final se révèle aussi amoral que jubilatoire."" Le Journal du Dimanche - Baptiste Thion",Comédie
